Bottleneck,Cpu_0,InterArrivalTime_0,Memory_0,QueueLength_0,QueueTime_0,ResponseTime_0,ServiceTime_0,Throughput_0,time,BrokerId_0,Timestamp_0,Throughput_1,Memory_1,ServiceTime_1,InterArrivalTime_1,BrokerId_1,Timestamp_1,Cpu_1,QueueLength_1,QueueTime_1,ResponseTime_1
False,0.10506901514430562,50505.657100,114085888,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:27,,,,,,,,,,,,
False,0.10476388262349451,50505.657100,114089984,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:28,,,,,,,,,,,,
False,0.10445693246865435,50505.657100,114094080,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:29,,,,,,,,,,,,
False,0.10415586196020839,50505.657100,114098176,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:30,,,,,,,,,,,,
False,0.10385290155443085,50505.657100,114118656,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:31,,,,,,,,,,,,
False,0.10355438011307261,50505.657100,114118656,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:32,,,,,,,,,,,,
False,0.10325483765104754,50505.657100,114118656,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:33,,,,,,,,,,,,
False,0.1029608754698306,50505.657100,114122752,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:34,,,,,,,,,,,,
False,0.1026651840059087,50505.657100,114126848,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:35,,,,,,,,,,,,
False,0.10237477965194271,50505.657100,114130944,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:36,,,,,,,,,,,,
False,0.10208561666190409,50505.657100,114130944,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:37,,,,,,,,,,,,
False,0.10179413367977547,50505.657100,114139136,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:38,,,,,,,,,,,,
False,0.10150886588631439,50505.657100,114139136,0,0.000000,630.073350,630.073350,1.587117,2024-05-22 20:29:39,,,,,,,,,,,,
