Node,level,msg,time,B1_Cpu,B1_Memory,B1_QueueLength,B1_QueueTime,B1_ServiceTime,B1_ResponseTime,B1_InterArrivalTime,B1_Throughput,B1_m,B1_TimestampDiff,B2_Cpu,B2_Memory,B2_QueueLength,B2_QueueTime,B2_ServiceTime,B2_ResponseTime,B2_InterArrivalTime,B2_Throughput,B2_m,B2_TimestampDiff,B3_Cpu,B3_Memory,B3_QueueLength,B3_QueueTime,B3_ServiceTime,B3_ResponseTime,B3_InterArrivalTime,B3_Throughput,B3_m,B3_TimestampDiff,B4_Cpu,B4_Memory,B4_QueueLength,B4_QueueTime,B4_ServiceTime,B4_ResponseTime,B4_InterArrivalTime,B4_Throughput,B4_m,B4_TimestampDiff,B5_Cpu,B5_Memory,B5_QueueLength,B5_QueueTime,B5_ServiceTime,B5_ResponseTime,B5_InterArrivalTime,B5_Throughput,B5_m,B5_TimestampDiff
localhost:50002,info,Advertisement(apple > 0.5065209940253114) 05a640c9-2d96-4365-95be-153671e882b1,2024-08-03 19:30:26,,,,,,,,,,,100.394824,32509952.0,4.0,4.4444,1.162231,5.60663,1.060073,0.17836,61.766073501,,99.954001,31916032.0,45.0,22.264633,0.91195,23.176582,0.493822,0.043147,57.317672901,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7860018325025265) 8d124e91-24e7-4736-9cdb-d09ea13dd57f,2024-08-03 19:30:28,,,,,,,,,,,100.378976,32587776.0,3.0,5.332388,1.163234,6.495623,1.060073,0.15395,62.927707201,,,,,,,,,,,,100.247026,31744000.0,5.0,6.455239,1.156028,7.611267,1.02689,0.131384,57.545359501,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.3111975581109081) 0b3b8840-c618-449f-9133-9a137461cf40,2024-08-03 19:30:29,,,,,,,,,,,100.358184,32600064.0,3.0,5.86636,1.162347,7.028707,1.085452,0.142274,64.092866101,,99.957142,31920128.0,44.0,23.167438,0.907632,24.07507,0.493822,0.041537,58.222505001,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.42128263047385966) d0e29c15-ed60-4e6a-977c-d71073c11a12,2024-08-03 19:30:30,,,,,,,,,,,100.339792,32694272.0,3.0,6.116271,1.167159,7.283431,1.098223,0.137298,65.256945901,,99.944428,32165888.0,48.0,24.079596,0.904832,24.984428,0.483426,0.040025,59.136663101,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.625153484265413) 58e3acbb-cc99-480f-b062-1154cd7fa033,2024-08-03 19:30:31,,,,,,,,,,,100.344742,32862208.0,5.0,5.344981,1.156605,6.501586,1.060417,0.153809,66.421568701,,,,,,,,,,,,100.234714,31944704.0,7.0,7.004908,1.160837,8.165746,1.007368,0.122463,61.028629001,,99.938504,28037120.0,2.0,2.927599,1.164089,4.091688,1.182092,0.244398,54.021836701,
localhost:50002,info,Advertisement(apple > 0.8198278826254758) 73290cfb-c85e-4f45-8e73-453249b18783,2024-08-03 19:30:32,,,,,,,,,,,100.32412,33144832.0,6.0,4.18209,1.170097,5.352188,1.038766,0.186839,67.587734601,,,,,,,,,,,,100.257162,32169984.0,7.0,6.907819,1.16212,8.069938,0.99298,0.123917,63.352684001,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.05437083626684983) 33cbae59-76dc-441b-89c8-065c1222c944,2024-08-03 19:30:33,100.001905,30908416.0,25.0,19.360405,1.164941,20.525346,0.755066,0.04872,65.140494601,,100.347365,33710080.0,6.0,3.613065,1.167166,4.780231,1.036502,0.209195,68.755456701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.8497205541863354) f00c1a92-a04a-4e76-907d-088418750cfd,2024-08-03 19:30:35,,,,,,,,,,,100.343468,33783808.0,5.0,4.436416,1.166729,5.603144,1.036502,0.178471,69.925985601,,99.944945,32645120.0,51.0,25.075514,0.908722,25.984236,0.487982,0.038485,65.483568701,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.2660796602840108) bc0669bd-dbac-4ff9-a450-cd6d254e0640,2024-08-03 19:30:36,100.037124,30932992.0,24.0,20.521994,1.16935,21.691344,0.755066,0.046101,66.304604201,,100.340838,33878016.0,4.0,4.791206,1.173523,5.964729,1.036502,0.167652,71.095707201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.15332761137219572) 7377ca18-a23c-403c-b712-d20e987beeeb,2024-08-03 19:30:37,,,,,,,,,,,100.336741,33898496.0,5.0,5.870984,1.167098,7.038083,1.067084,0.142084,72.266547301,,99.943066,32698368.0,50.0,25.982012,0.911832,26.893845,0.487982,0.037183,66.391561901,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.872180818771269) 638b409b-b2e5-4fe6-9466-a13bf858ec5e,2024-08-03 19:30:38,,,,,,,,,,,100.330212,33918976.0,6.0,6.542824,1.171462,7.714287,1.051253,0.12963,73.423689301,,,,,,,,,,,,100.25296,32370688.0,7.0,8.114201,1.15656,9.270761,0.980279,0.107866,66.830905801,,99.930636,28454912.0,2.0,2.267839,1.164772,3.43261,1.196986,0.291323,58.716821301,
localhost:50002,info,Advertisement(apple > 0.18657361221024785) d5ce1d76-14ed-4bf5-8557-c6e905b11a5e,2024-08-03 19:30:39,,,,,,,,,,,100.32848,33943552.0,5.0,7.289068,1.157086,8.446154,1.051253,0.118397,74.592989501,,99.940695,33169408.0,52.0,26.888868,0.905993,27.794861,0.504195,0.035978,67.299920401,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7004705120066227) 1aac45c9-9fd7-4cee-8fea-2c7a31037825,2024-08-03 19:30:40,,,,,,,,,,,100.325149,33972224.0,6.0,7.549891,1.170356,8.720247,1.053586,0.114676,75.763537601,,99.936385,33181696.0,52.0,27.797491,0.909359,28.706849,0.503129,0.034835,68.209645701,,,,,,,,,,,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.09622941358737495) 8e7d81b6-2b0b-4c88-8a8f-3556a6fd6510,2024-08-03 19:30:42,,,,,,,,,,,100.320157,34000896.0,7.0,5.392741,1.171529,6.564269,1.03524,0.15234,76.935438301,,,,,,,,,,,,100.249077,32612352.0,9.0,9.691814,1.16656,10.858374,0.998034,0.092095,71.493738101,,,,,,,,,,,
localhost:50002,info,Advertisement(apple > 0.7250448598028503) 00da21e3-9aec-4be6-863a-aecc1a14d092,2024-08-03 19:30:43,100.007979,31064064.0,26.0,20.950888,1.154563,22.105451,0.761827,0.045238,72.089070801,,100.315456,34004992.0,7.0,6.000684,1.16892,7.169604,1.033376,0.139478,78.091652301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
