B1_Cpu,B1_Memory,B1_ResponseTime,B1_Throughput,B2_Cpu,B2_Memory,B2_ResponseTime,B2_Throughput,B3_Cpu,B3_Memory,B3_ResponseTime,B3_Throughput,B4_Cpu,B4_Memory,B4_ResponseTime,B4_Throughput,B5_Cpu,B5_Memory,B5_ResponseTime,B5_Throughput
100.032126,34271232,61.43232,0.016278,100.246913,35381248,8.858281,0.112889,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.2497975,35381248,8.852977,0.112956,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.221239,35393536,9.070757,0.110244,0,0,0,0,100.168536,35057664,30.214215,0.033097,0,0,0,0
100.025965,34316288,62.59742,0.015975,100.214433,35495936,10.014668,0.099854,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.214963,35504128,8.795577,0.113694,100.028241,34836480,54.015499,0.018513,0,0,0,0,0,0,0,0
0,0,0,0,100.207966,35504128,9.048479,0.110516,100.028498,34836480,54.938213,0.018202,0,0,0,0,0,0,0,0
0,0,0,0,100.210214,35508224,9.089641,0.110015,0,0,0,0,100.157076,35057664,31.655908,0.03159,99.995447,33529856,9.711904,0.102966
100.004664,34324480,63.013232,0.01587,100.208147,35512320,8.882634,0.112579,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.2121996,35512320,8.869419,0.112747,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.191027,35512320,9.053307,0.110457,0,0,0,0,100.152096,35065856,31.840028,0.031407,0,0,0,0
100.006893,34336768,64.186063,0.01558,100.150234,35520512,10.045236,0.09955,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,100.143859,35520512,8.477844,0.117955,99.989785,34836480,55.935723,0.017878,0,0,0,0,0,0,0,0
0,0,0,0,100.143533,35532800,8.734962,0.114482,99.997279,34840576,56.847671,0.017591,0,0,0,0,0,0,0,0
0,0,0,0,100.144048,35536896,9.080666,0.110124,0,0,0,0,100.131734,35065856,32.866646,0.030426,99.990527,33546240,10.126256,0.098753
0,0,0,0,100.144313,35540992,9.082264,0.110105,0,0,0,0,100.134893,35065856,32.30958,0.030951,0,0,0,0
